GENERO,EDAD,NIV_EDUC,D_Marzo,D_Abril,D_Junio,D_Julio,D_Septiembre,M_MOROSO,MONTO,SEGURO,FUGA,DIF_SEPT_AGOS,Recency,Frequency,DEUDA_PROM,CIUDAD_AGRUP,CAS,SEP,SOL,VIU
1.0,0.17391304347826086,0.0,0.0,0.006967839704021484,0.02104992330362209,0.157861803879503,0.0013618957588963838,0.6666666666666666,0.2,0.0,0,0.2028685430096882,0.0,0.7142857142857142,0.02290357489177645,0.0,1,0,0,0
0.0,0.28260869565217395,0.0,0.0,0.0,0.0,0.004290694556181282,0.0,0.3333333333333333,0.9333333333333333,1.0,0,0.2322989620491894,0.2857142857142857,0.14285714285714285,2.272062651370257e-06,1.0,0,0,0,1
1.0,0.17391304347826086,0.5,0.0,0.10993817889216954,0.0,0.02887279878430321,0.01171630910227036,0.3333333333333333,1.0,0.0,0,0.15322274833803706,0.0,0.5714285714285714,0.030005711397489882,0.0,1,0,0,0
0.0,0.14130434782608692,1.0,0.0,0.0009325754330698346,0.00964389347374208,0.008402610172521677,0.000420585454953295,0.3333333333333333,0.28,0.0,0,0.23265132168421193,0.0,0.5714285714285714,0.009671508021943201,1.0,1,0,0,0
1.0,0.2282608695652174,0.5,0.0,0.0021737650972589746,0.0035842205319877108,0.013319031018146063,0.001089516607117107,0.3333333333333333,0.7866666666666667,0.0,0,0.23321174129420016,0.0,0.5714285714285714,0.004086210009212267,1.0,1,0,0,0
1.0,0.18478260869565216,0.5,0.0,0.034125528110644024,0.0005819348578010578,0.0572986502190042,0.0006168586672648327,0.6666666666666666,0.96,0.0,1,0.23241977106691142,0.0,0.7142857142857142,0.009488654313146466,1.0,1,0,0,0
1.0,0.2391304347826087,1.0,0.05920643558509947,0.09693434705344377,0.0,0.1308661839635291,0.006100491884703507,0.3333333333333333,0.32,0.0,1,0.18505928031383498,0.0,0.7142857142857142,0.05260189514639136,1.0,1,0,0,0
0.0,0.19565217391304346,0.5,0.0,0.02571488048295216,0.02545843847221358,0.0011620631089657638,0.0019106596382163971,0.3333333333333333,0.21333333333333337,1.0,0,0.23389968153400606,0.0,0.5714285714285714,0.031578452098623803,1.0,0,0,1,0
0.0,0.10869565217391303,0.0,0.0,0.018574719035493185,0.0,0.003933136676499509,0.0,0.3333333333333333,0.14666666666666667,0.0,0,0.2322989620491894,0.2857142857142857,0.2857142857142857,0.0048339079600673625,0.0,1,0,0,0
0.0,0.17391304347826086,0.0,0.0,0.02959821556922403,0.02160912935993175,0.07732189148118351,0.003633057215644177,0.3333333333333333,0.3066666666666667,0.0,0,0.23534267813457452,0.0,0.5714285714285714,0.02888956062000424,1.0,0,0,0,1
